username, created_at, lng, lat, text
fckyoufeedme, Thu Apr 23 15:56:40 +0000 2020, -122.330602, 47.614817, @SaraMcChong Already told you I’m 100% down to do it again! 😂 
Dennis3958, Thu Apr 23 15:56:41 +0000 2020, -122.641095, 45.777867, Gosh! She are smart. 
kayco76, Thu Apr 23 15:56:41 +0000 2020, -120.882482, 47.273022, Define untested u twit, tested and approved by FDA?  ✅.  If it is proven effective for COVID 19 depends on well des… https://t.co/Plr73PO1xm 
mordecai_hunter, Thu Apr 23 15:56:44 +0000 2020, -116.947883, 47.718905, @Catsorange1 @toe_german @NPR It’s useful as an economic indicator, but it fails to convey all of the information.… https://t.co/2BrlQu9V3N 
jamesbrownaa, Thu Apr 23 15:56:46 +0000 2020, -122.818486, 49.111519, Jules is a beauty! 
JustMrLeeds, Thu Apr 23 15:56:48 +0000 2020, -122.400067, 45.533894, Fingers crossed for our Thursday night game tonight. I’ve been dying for some closure on this arc for the past 3 WE… https://t.co/SWxZ9RK4nf 
seachildwarned, Thu Apr 23 15:56:51 +0000 2020, -122.343179, 47.755871, @ahsimlibrarian ❤️❤️❤️ 
katebperez, Thu Apr 23 15:56:55 +0000 2020, -122.330602, 47.614817, #keeperinstructor 👇🏼 
____PMB, Thu Apr 23 15:56:58 +0000 2020, -122.240595, 47.853083, @GuiltyOfStuntn1 I gotta re-evaluate my love life , cause what I’m not doing 🤣😆 
runningevolve, Thu Apr 23 15:57:00 +0000 2020, -122.349511, 47.502955, @MaskTami @kolbejack I started a online re-mote bootcamp. 8 classes a week. At least someone will get stronger. 💪🏻 
ecyseattle, Thu Apr 23 15:57:00 +0000 2020, -122.330602, 47.614817, Thanks for unmasking that fence walker, @ecyCentral! 
bardwellta, Thu Apr 23 15:56:57 +0000 2020, -122.330602, 47.614817, Highly recommend "Circus of Books" on @netflix! I was skeptical at first &amp; didn't get hooked right away but the tou… https://t.co/u3cv1sJ0b6 
